fdate,Avg_GWAD,Avg_LAI,SD_GWAD,SD_LAI
1,165.3613756613756,1.3317195767195769,261.53043524035326,0.24145086421276532
2,776.4202821869488,1.2006155202821869,441.15109556705744,0.2439871069625649
3,1565.1791887125223,1.047978835978836,490.50005033083664,0.23500563318802511
4,2305.584898710865,0.8916077348066299,510.4448428422841,0.2125887296425614
5,2732.274917491749,0.7928580858085807,426.36616134621096,0.16603732216085756
6,2777.2,0.7926666666666666,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0038998534798534833,0.0,0.008082615767315116
11,0.0,0.035324761904761824,0.0,0.03797064125301846
12,0.0,0.11960219780219777,0.0,0.09627240548366402
13,0.0,0.26962329670329666,0.0,0.17683812685683578
14,0.0,0.484503076923077,0.0,0.23437738274935085
15,0.0,0.7594227838827844,0.0,0.25072765654694046
16,0.0,1.088180293040293,0.0,0.2378200818632688
17,0.0,1.4729767032967032,0.0,0.23666571223255325
18,0.0,1.6622345054945056,0.0,0.21774715466426747
19,0.0,1.643500586080586,0.0,0.25882477640031504
20,3.3675824175824176,1.575594065934066,20.485197064267503,0.28325495569705417
21,12.019655677655676,1.4696506959706959,61.4341187153807,0.2968330266177714
22,83.80252014652017,1.3552024175824176,193.40755358649943,0.2984985145450169
23,554.2782417582417,1.2440600000000002,373.7104967485459,0.30064009085905613
24,1273.95989010989,1.1113544322344322,431.05226509815765,0.28882878821120445
25,2002.2904835164836,0.9599816117216118,505.0848186088863,0.2644504257895935
26,2669.312481504967,0.8069476854787572,548.3245381734429,0.22716327667065614
27,3095.3599290780144,0.708063829787234,564.2505635669103,0.19589216995542538
28,2847.545833333333,0.5439583333333334,465.84314998079236,0.1469132234362981
39,0.0,0.0,0.0,0.0
40,0.0,0.00011976047904191621,0.0,0.0010910500922184509
41,0.0,0.008022927689594362,0.0,0.007961545909360495
42,0.0,0.04146384479717809,0.0,0.024218968035132616
43,0.0,0.1147142857142857,0.0,0.042776423594176625
44,0.0,0.2365396825396826,0.0,0.07193429915986985
45,0.0,0.41267019400352717,0.0,0.10760215259637501
46,0.0,0.6493209876543209,0.0,0.1472843825317585
47,0.0,0.9530987654320986,0.0,0.18905932881775783
48,0.0,1.3329365079365076,0.0,0.24023739910066405
49,0.0,1.6019453262786598,0.0,0.18780033113432912
50,0.0,1.6258924162257498,0.0,0.20450597731446238
51,0.0,1.5735149911816575,0.0,0.224223655640201
52,3.828924162257495,1.4741287477954146,27.68440332163467,0.2397151284226896
53,15.373333333333335,1.401647619047619,46.22634557688944,0.19842594313457343
